"","baseMean","log2FoldChange","pvalue","padj","Phylum","Class","Order","Family","Genus","DifferentaillyAbundant"
"312070",139.601585761411,4.75593911309618,1.99373328917984e-07,2.16320061876013e-05,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
"425721",12.116850676014,5.1614682205179,2.52085274351835e-05,0.000841576992836127,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"572750",156.638567210581,3.37289828426673,8.86548955338944e-05,0.0018768890078883,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"199268",12.3438522001423,5.25269736454918,1.66616727895481e-06,0.000131475745284798,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__SMB53","DC"
"325419",26.6685773558312,3.58738194500966,0.000415887443965837,0.00508437044172319,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
"814442",8.4510565554602,5.03551075117427,0.000193493271877777,0.00294652912263001,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"365484",7.78515498424156,2.92550784627274,0.000226261505561338,0.00316766107785873,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Coprococcus","DC"
"816470",545.692068627012,-8.60962333526492,4.52682355171396e-07,3.92928284288771e-05,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","CeD"
"555945",682.243430316088,4.45282578637099,1.58757945560594e-08,3.44504741866489e-06,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae","g__","DC"
"2457426",322.668566253946,3.61993372963969,0.000115261918275576,0.0021749422839826,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"813457",103.91690468924,3.21966177970532,0.000571405693653038,0.00670243435257887,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"4333020",340.98638445307,3.64465111611228,4.8560550800586e-05,0.00127728963923966,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"820346",16.5966964046025,4.01741954482925,0.00021476143130109,0.00307379270047841,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"186092",22.41144132643,5.41169814246197,1.23799160292145e-07,1.7909611855597e-05,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
"362997",12.1947597741518,-5.26204134250381,8.30354652472186e-06,0.000394673315989739,"p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","CeD"
"338222",52.6736628019711,5.78639959581593,1.56233453634486e-05,0.00067805318877367,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
